Pais            iso3             2018                2019              2020              2021              2022              2023              2024              
Guyana          GUY                  12442.5087185876  13240.9713761155  16819.4228714695  22865.9270968882  39710.9695607531  54729.0365156366  79905.7442521973
Uruguay         URY                  24386.4948473952  25782.6890198871   25725.258216942  29431.8850087471   33000.918699951  34470.9322201143   36417.874162496
Chile           CHL                  25305.0903462611  25611.7578269458  25350.8635082972   29089.850459728  30820.3526971179  32801.3786378418  34637.1168279143
Argentina       ARG                  24410.3919063335  23516.8261980886  22393.3479575353   26300.274261175  29597.6938429263  30082.3045247325  30175.5359656699
Brasil          BRA                  15463.7426393889  16069.8380152627  16101.6183063466  18075.7060049068  19876.8533531447  21175.6186990185  22333.4116642585
Colombia        COL                  15239.4049488277  16181.5908990662  15519.2101694656  17383.0901728295  20695.7426775731  20944.4883888657  21494.6002713853
Paraguay        PRY                  14139.0931267561  14149.5985227505  14308.8787738328  15406.1670646579  16347.0434974739  17564.4912369379  18523.6810153005
Per£            PER                  13078.2323503405  13563.5372933551  12563.3038060893  15280.5512106486  16669.1561486769  17011.2278028825  17802.4182498972
Ecuador         ECU                  12186.8846084388  12543.0148243925  11526.8013009278  13507.4445638375  15198.0725554473  15918.5162948773  15840.2668567412
Bolivia         BOL                  8952.58785284444  9174.44563616863  8293.99121208365  9454.19814680002  10371.9629079451  10925.2730525053  11189.8055097036
Venezuela       VEN                                                                                                                            
Suriname        SUR                  17855.4787141437  19771.5473885151  16946.8942361914   18458.234999681   20078.836554595  21135.5456365134  22066.7320723321
